Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Jemin Mistry,Royal Warriors,All-Rounder,Right-arm Leg Break,RHB,8,6.125,26.816,2.324,35.265
Pushkar Sinha,Royal Challengers,All-Rounder,Right-arm fast,RHB,9,6.384,18.407,0.784,25.575
Dinesh Patil Rahul Arcus,Vikings,All-Rounder,Right-arm fast,RHB,7,7.878,11.681,5.124,24.683
Rubal,Royal Warriors,,Right-arm fast,RHB,8,2.420,15.486,1.288,19.194
Mandar Hanchate,Royal Warriors,All-Rounder,Left-arm medium,RHB,8,5.827,7.199,5.516,18.542
Aradhya Deshmukh,STRIKERS,Middle-order batter,Right-arm Off Break,RHB,6,3.676,13.505,1.344,18.525
Prashant Puri,PHOENIX,,Right-arm fast,RHB,8,8.315,7.188,2.604,18.107
Rohit V. Abbigeri,PHOENIX,Middle-order batter,Right-arm Off Break,RHB,8,7.537,8.167,1.568,17.272
Jayant Parkhi,Royal Warriors,Wicket-keeper,Right-arm fast,RHB,8,14.050,0.000,3.136,17.186
"Nikhil Deshpande, Arcus",Royal Challengers,,Right-arm medium,RHB,9,1.627,14.708,0.840,17.175
Mukesh Singh,MAVERICKS,,Right-arm fast,RHB,6,2.918,12.598,1.344,16.860
Amol Khodke,PHOENIX,Top-order batter,Right-arm medium,RHB,8,4.476,11.925,0.430,16.831
Raghav,PHOENIX,,Right-arm fast,RHB,8,3.057,11.857,1.904,16.818
Siddhanth Parekh,MAVERICKS,All-Rounder,Right-arm fast,RHB,6,5.902,8.145,2.632,16.679
Amit Moon,MAVERICKS,All-Rounder,Right-arm fast,RHB,6,2.619,11.315,2.464,16.398
Hrishikesh Joshi,STRIKERS,All-Rounder,Right-arm medium,RHB,6,4.583,7.270,3.808,15.661
Arun Raghuwanshi,Deccan Knights,All-Rounder,Right-arm medium,RHB,6,3.918,9.543,0.504,13.965
Saurabh Sonkar,Royal Warriors,,Left-arm medium,RHB,8,0.200,11.631,1.624,13.455
Sudarshan Kabra,Vikings,None,Right-arm medium,RHB,7,3.052,8.838,1.484,13.374
Harshad Dewate,STRIKERS,None,Right-arm medium,RHB,6,2.992,7.186,3.024,13.202
Ravi,Vikings,None,Right-arm fast,RHB,7,0.500,11.059,1.400,12.959
Vishal Ratan Singh,MAVERICKS,All-Rounder,Right-arm medium,RHB,6,5.647,5.939,0.840,12.426
Omkar Sinha,Royal Challengers,Wicket-keeper batter,Right-arm Off Break,RHB,9,7.275,0.000,4.648,11.923
Gaurav Pillai,STRIKERS,Top-order batter,Right-arm fast,RHB,6,5.730,4.902,0.980,11.612
Bibhu Prasad Panda,PHOENIX,Wicket-keeper batter,Right-arm medium,RHB,8,1.556,6.661,2.968,11.185
Amit Deshmukh,Deccan Knights,,Right-arm medium,RHB,6,2.800,6.914,0.280,9.994
Laxmikant Mane,Vikings,All-Rounder,Right-arm fast,RHB,7,3.787,5.199,0.728,9.714
Suchit Awalgaonkar,Vikings,,Right-arm medium,RHB,7,2.668,6.389,0.560,9.617
Amit Karande,Deccan Knights,Top-order batter,Right-arm fast,RHB,6,8.350,0.000,1.064,9.414
Nilesh Changade,Royal Challengers,All-Rounder,Right-arm medium,RHB,8,1.720,6.135,1.008,8.863
Sarvesh Desai,Vikings,,Right-arm medium,RHB,7,6.024,1.375,1.260,8.659
Aashay Agrawal,Deccan Knights,None,Right-arm medium,RHB,6,3.003,4.466,1.120,8.589
Rushikesh Shete,Deccan Knights,,Right-arm medium,RHB,4,0.414,7.676,0.448,8.538
Swapnil Matte,Vikings,Wicket-keeper batter,None,RHB,6,6.375,0.000,1.344,7.719
Sudarshan Patil,MAVERICKS,All-Rounder,Right-arm medium,RHB,6,2.606,2.667,2.390,7.663
Akshay Ratnaparkhi,Royal Challengers,,Right-arm medium,RHB,9,1.701,4.405,1.540,7.646
Dayanand Patil,STRIKERS,,Right-arm medium,RHB,6,0.100,5.723,1.820,7.643
Ajit,Royal Challengers,,Right-arm Leg Break,RHB,8,6.009,0.000,1.540,7.549
Vinit Karande,Royal Warriors,Top-order batter,Right-arm fast,LHB,6,5.803,0.000,1.680,7.483
Raghav Sharma,Royal Warriors,,Right-arm fast,RHB,8,0.101,3.832,2.688,6.621
Ashish Pandit,Deccan Knights,All-Rounder,Right-arm medium,RHB,5,2.809,2.964,0.000,5.773
